Nat,Name,HP,Atk,Def,SpA,SpD,Spe,Total,TypeI,TypeII
460,Abomasnow,90,92,75,92,85,60,494,Ice,Grass
63,Abra,25,20,15,105,55,90,310,Psychic,
359,Absol,65,130,60,75,60,75,465,Dark,
617,Accelgor,80,70,40,100,60,145,495,Bug,
142,Aerodactyl,80,105,65,60,75,130,515,Rock,Flying
306,Aggron,70,110,180,60,60,50,530,Steel,Rock
190,Aipom,55,70,55,40,55,85,360,Normal,
65,Alakazam,55,50,45,135,85,120,490,Psychic,
594,Alomomola,165,75,80,40,45,65,470,Water,
334,Altaria,75,70,90,70,105,80,490,Dragon,Flying
424,Ambipom,75,100,66,60,66,115,482,Normal,
591,Amoonguss,114,85,70,85,80,30,464,Grass,Poison
181,Ampharos,90,75,75,115,90,55,500,Electric,
347,Anorith,45,95,50,40,50,75,355,Rock,Bug
24,Arbok,60,85,69,65,79,80,438,Poison,
59,Arcanine,90,110,80,100,80,95,555,Fire,
493,Arceus,120,120,120,120,120,120,720,Normal,
566,Archen,55,112,45,74,45,70,401,Rock,Flying
567,Archeops,75,140,65,112,65,110,567,Rock,Flying
168,Ariados,70,90,70,60,60,40,390,Bug,Poison
348,Armaldo,75,125,100,70,80,45,495,Rock,Bug
304,Aron,50,70,100,40,40,30,330,Steel,Rock
144,Articuno,90,85,100,95,125,85,580,Ice,Flying
531,Audino,103,60,86,60,86,50,445,Normal,
610,Axew,46,87,60,30,40,57,320,Dragon,
482,Azelf,75,125,70,125,70,115,580,Psychic,
184,Azumarill,100,50,80,50,80,50,410,Water,
298,Azurill,50,20,40,20,40,20,190,Normal,
371,Bagon,45,75,60,40,30,50,300,Dragon,
343,Baltoy,40,40,55,40,70,55,300,Ground,Psychic
354,Banette,64,115,65,83,63,65,455,Ghost,
339,Barboach,50,48,43,46,41,60,288,Water,Ground
550,Basculin,70,92,65,80,55,98,460,Water,
411,Bastiodon,60,52,168,47,138,30,495,Rock,Steel
153,Bayleef,60,62,80,63,80,69,414,Grass,
614,Beartic,95,110,80,70,80,50,485,Ice,
267,Beautifly,60,70,50,90,50,65,385,Bug,Flying
15,Beedrill,65,80,40,40,80,75,380,Bug,Poison
606,Beheeyem,75,75,75,125,95,40,485,Psychic,
374,Beldum,40,55,80,35,60,30,300,Steel,Psychic
182,Bellossom,75,80,85,90,100,50,480,Grass,
69,Bellsprout,50,75,35,70,30,40,300,Grass,Poison
400,Bibarel,79,85,60,60,71,55,410,Normal,Water
399,Bidoof,59,45,40,35,40,31,250,Normal,
625,Bisharp,65,125,100,60,70,70,490,Dark,Steel
9,Blastoise,79,83,100,85,105,78,530,Water,
257,Blaziken,80,120,70,110,70,80,530,Fire,Fighting
242,Blissey,255,10,10,75,135,55,540,Normal,
522,Blitzle,45,60,32,50,32,76,295,Electric,
525,Boldore,70,105,105,50,40,20,390,Rock,
438,Bonsly,50,80,95,10,45,10,290,Rock,
626,Bouffalant,95,110,95,40,95,55,490,Normal,
628,Braviary,100,123,75,57,75,80,510,Normal,Flying
286,Breloom,60,130,80,60,60,70,460,Grass,Fighting
437,Bronzong,67,89,116,79,116,33,500,Steel,Psychic
436,Bronzor,57,24,86,24,86,23,300,Steel,Psychic
406,Budew,40,30,35,50,70,55,280,Grass,Poison
418,Buizel,55,65,35,60,30,85,330,Water,
1,Bulbasaur,45,49,49,65,65,45,318,Grass,Poison
427,Buneary,55,66,44,44,56,85,350,Normal,
412,Burmy,40,29,45,29,45,36,224,Bug,
12,Butterfree,60,45,50,80,80,70,385,Bug,Flying
331,Cacnea,50,85,40,85,40,35,335,Grass,
332,Cacturne,70,115,60,115,60,55,475,Grass,Dark
323,Camerupt,70,100,70,105,75,40,460,Fire,Ground
455,Carnivine,74,100,72,90,72,46,454,Grass,
565,Carracosta,74,108,133,83,65,32,495,Water,Rock
318,Carvanha,45,90,20,65,20,65,305,Water,Dark
268,Cascoon,50,35,55,25,25,15,205,Bug,
351,Castform,70,70,70,70,70,70,420,Normal,
10,Caterpie,45,30,35,20,20,45,195,Bug,
251,Celebi,100,100,100,100,100,100,600,Psychic,Grass
609,Chandelure,60,55,90,145,90,80,520,Ghost,Fire
113,Chansey,250,5,5,35,105,50,450,Normal,
6,Charizard,78,84,78,109,85,100,534,Fire,Flying
4,Charmander,39,52,43,60,50,65,309,Fire,
5,Charmeleon,58,64,58,80,65,80,405,Fire,
441,Chatot,76,65,45,92,42,91,411,Normal,Flying
421,Cherrim,70,60,70,87,78,85,450,Grass,
420,Cherubi,45,35,45,62,53,35,275,Grass,
152,Chikorita,45,49,65,49,65,45,318,Grass,
390,Chimchar,44,58,44,58,44,61,309,Fire,
358,Chimecho,65,50,70,95,80,65,425,Psychic,
170,Chinchou,75,38,38,56,56,67,330,Water,Electric
433,Chingling,45,30,50,65,50,45,285,Psychic,
573,Ciccino,75,95,60,65,60,115,470,Normal,
366,Clamperl,35,64,85,74,55,32,345,Water,
344,Claydol,60,70,105,70,120,75,500,Ground,Psychic
36,Clefable,95,70,73,85,90,60,473,Normal,
35,Clefairy,70,45,48,60,65,35,323,Normal,
173,Cleffa,50,25,28,45,55,15,218,Normal,
91,Cloyster,50,90,180,85,45,70,520,Water,Ice
638,Cobalion,91,90,129,90,72,108,580,Steel,Fighting
563,Cofagrigus,58,50,145,95,105,30,483,Ghost,
415,Combee,30,30,42,30,42,70,244,Bug,Flying
256,Combusken,60,85,60,85,60,55,405,Fire,Fighting
534,Conkeldurr,105,140,95,55,65,45,505,Fighting,
341,Corphish,43,80,65,50,35,35,308,Water,
222,Corsola,55,55,85,65,85,35,380,Water,Rock
546,Cottonee,40,27,60,37,50,66,280,Grass,
346,Cradily,86,81,97,81,107,43,495,Rock,Grass
408,Cranidos,67,125,40,30,30,58,350,Rock,
342,Crawdaunt,63,120,85,90,55,55,468,Water,Dark
488,Cresselia,120,70,120,75,130,85,600,Psychic,
